ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
18.0,0.6,0.5,2.0,53927
18.0,0.6,1.0,0.5,54599
18.0,0.6,1.0,1.0,59167
18.0,0.6,1.0,2.0,58921
18.0,0.6,2.0,0.5,57000
18.0,0.6,2.0,1.0,60942
18.0,0.6,2.0,2.0,64505
18.0,0.7000000000000001,0.5,0.5,49070
18.0,0.7000000000000001,0.5,1.0,52968
18.0,0.7000000000000001,0.5,2.0,54430
18.0,0.7000000000000001,1.0,0.5,54302
18.0,0.7000000000000001,1.0,1.0,58791
18.0,0.7000000000000001,1.0,2.0,58923
18.0,0.7000000000000001,2.0,0.5,56789
18.0,0.7000000000000001,2.0,1.0,60458
18.0,0.7000000000000001,2.0,2.0,63978
18.0,0.8,0.5,0.5,48676
18.0,0.8,0.5,1.0,52693
18.0,0.8,0.5,2.0,54745
18.0,0.8,1.0,0.5,53618
18.0,0.8,1.0,1.0,57774
18.0,0.8,1.0,2.0,58376
18.0,0.8,2.0,0.5,56341
18.0,0.8,2.0,1.0,59397
18.0,0.8,2.0,2.0,62628
18.0,0.9,0.5,0.5,47638
18.0,0.9,0.5,1.0,51589
18.0,0.9,0.5,2.0,54523
18.0,0.9,1.0,0.5,52081
18.0,0.9,1.0,1.0,55385
18.0,0.9,1.0,2.0,56578
18.0,0.9,2.0,0.5,55353
18.0,0.9,2.0,1.0,57094
18.0,0.9,2.0,2.0,59555
18.0,1.0,0.5,0.5,49830
18.0,1.0,0.5,1.0,53218
18.0,1.0,0.5,2.0,55802
18.0,1.0,1.0,0.5,53218
18.0,1.0,1.0,1.0,54900
18.0,1.0,1.0,2.0,56330
18.0,1.0,2.0,0.5,55802
18.0,1.0,2.0,1.0,56330
18.0,1.0,2.0,2.0,56884
27.0,0.1,0.5,0.5,51555
27.0,0.1,0.5,1.0,52579
27.0,0.1,0.5,2.0,50588
27.0,0.1,1.0,0.5,59492
27.0,0.1,1.0,1.0,62103
27.0,0.1,1.0,2.0,58105
27.0,0.1,2.0,0.5,62540
27.0,0.1,2.0,1.0,66226
27.0,0.1,2.0,2.0,67536
27.0,0.2,0.5,0.5,51823
27.0,0.2,0.5,1.0,53495
27.0,0.2,0.5,2.0,52273
27.0,0.2,1.0,0.5,59629
27.0,0.2,1.0,1.0,62693
27.0,0.2,1.0,2.0,59395
27.0,0.2,2.0,0.5,62570
