ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
0,0,0,0,40393
9.0,0.1,0.5,0.5,58034
9.0,0.1,0.5,1.0,51400
9.0,0.1,0.5,2.0,45602
9.0,0.1,1.0,0.5,57749
9.0,0.1,1.0,1.0,58034
9.0,0.1,1.0,2.0,51400
9.0,0.1,2.0,0.5,54850
9.0,0.1,2.0,1.0,57749
9.0,0.1,2.0,2.0,58034
9.0,0.2,0.5,0.5,59026
9.0,0.2,0.5,1.0,53128
9.0,0.2,0.5,2.0,48110
9.0,0.2,1.0,0.5,58011
9.0,0.2,1.0,1.0,59026
9.0,0.2,1.0,2.0,53128
9.0,0.2,2.0,0.5,54865
9.0,0.2,2.0,1.0,58011
9.0,0.2,2.0,2.0,59026
9.0,0.30000000000000004,0.5,0.5,60133
9.0,0.30000000000000004,0.5,1.0,55580
9.0,0.30000000000000004,0.5,2.0,50941
9.0,0.30000000000000004,1.0,0.5,58145
9.0,0.30000000000000004,1.0,1.0,60133
9.0,0.30000000000000004,1.0,2.0,55580
9.0,0.30000000000000004,2.0,0.5,54837
9.0,0.30000000000000004,2.0,1.0,58145
9.0,0.30000000000000004,2.0,2.0,60133
9.0,0.4,0.5,0.5,60026
9.0,0.4,0.5,1.0,55997
9.0,0.4,0.5,2.0,51805
9.0,0.4,1.0,0.5,57871
9.0,0.4,1.0,1.0,60026
9.0,0.4,1.0,2.0,55997
9.0,0.4,2.0,0.5,54692
9.0,0.4,2.0,1.0,57871
9.0,0.4,2.0,2.0,60026
9.0,0.5,0.5,0.5,60496
9.0,0.5,0.5,1.0,57085
9.0,0.5,0.5,2.0,52781
9.0,0.5,1.0,0.5,57654
9.0,0.5,1.0,1.0,60496
9.0,0.5,1.0,2.0,57085
9.0,0.5,2.0,0.5,54495
9.0,0.5,2.0,1.0,57654
9.0,0.5,2.0,2.0,60496
9.0,0.6,0.5,0.5,58829
9.0,0.6,0.5,1.0,55704
9.0,0.6,0.5,2.0,52514
9.0,0.6,1.0,0.5,56760
9.0,0.6,1.0,1.0,58829
9.0,0.6,1.0,2.0,55704
9.0,0.6,2.0,0.5,54183
9.0,0.6,2.0,1.0,56760
9.0,0.6,2.0,2.0,58829
9.0,0.7000000000000001,0.5,0.5,57605
9.0,0.7000000000000001,0.5,1.0,55013
9.0,0.7000000000000001,0.5,2.0,52531
9.0,0.7000000000000001,1.0,0.5,55757
9.0,0.7000000000000001,1.0,1.0,57605
9.0,0.7000000000000001,1.0,2.0,55013
9.0,0.7000000000000001,2.0,0.5,53730
9.0,0.7000000000000001,2.0,1.0,55757
9.0,0.7000000000000001,2.0,2.0,57605
9.0,0.8,0.5,0.5,55462
9.0,0.8,0.5,1.0,53577
