Configuration,Factor,Volume,Entropy
Widefield,0,7951.270488095775,817.9160751090257
Conventional,0,11815.382664626206,907.8409766965342
Square,0,9886.467780021389,876.2407862404056
Hexagonal,0,9164.39162579099,857.4534972476944
Conventional,0.1,6809.180267239582,850.9048701993291
Conventional,0.15000000000000002,6809.180267239582,850.9048701993291
Conventional,0.20000000000000004,6809.180267239582,850.9048701993291
Conventional,0.25000000000000006,6809.1802672395825,850.9048701993291
Conventional,0.30000000000000004,7850.921036220038,859.1466300798586
Conventional,0.3500000000000001,8371.945699597976,865.3367424207669
Conventional,0.40000000000000013,8693.802788315888,870.0222170577474
Conventional,0.45000000000000007,8915.25927661639,873.5883924666709
Conventional,0.5000000000000001,9076.628775483212,876.2938913407567
Conventional,0.5500000000000002,9836.670764727267,885.7050887938695
Conventional,0.6000000000000002,10404.492907096395,893.0642331011045
Conventional,0.6500000000000001,10821.923335764983,898.1866882723452
Conventional,0.7000000000000002,11117.724331784013,901.4968999804514
Conventional,0.7500000000000002,11319.499486915754,903.5028308689864
Conventional,0.8000000000000002,11566.526136990844,905.2314532837258
Conventional,0.8500000000000002,11679.928680560626,905.7701688799524
Conventional,0.9000000000000002,11700.39263061095,905.5055796600234
Conventional,0.9500000000000003,11659.573728434516,904.7122396409868
Conventional,1.0000000000000004,11580.125396263322,903.5695584049721
Conventional,1.0500000000000003,11467.802035215722,902.7496912838071
Conventional,1.1000000000000005,11326.603996780468,901.6305960690293
Conventional,1.1500000000000004,11167.53557562468,900.2589494360059
Conventional,1.2000000000000004,10997.91056129762,898.667692362994
Conventional,1.2500000000000004,10820.955361348786,896.8045539344471
Conventional,1.3000000000000005,10709.76234218436,895.7620720114816
Conventional,1.3500000000000005,10584.868926722856,894.4253320520639
Conventional,1.4000000000000006,10448.329770252945,892.843856562806
Conventional,1.4500000000000006,10300.967960029859,891.0186158620791
Conventional,1.5000000000000004,10144.765379682014,888.9857552547074
Conventional,1.5500000000000005,10097.734296252354,888.6072798071875
Conventional,1.6000000000000005,10036.02470302602,888.0008126862084
Conventional,1.6500000000000006,9952.952068508592,886.9633531647347
Conventional,1.7000000000000006,9842.609144032347,885.3619704099074
Conventional,1.7500000000000007,9699.987412765948,883.0881222880223
Conventional,1.8000000000000007,9734.24417089083,884.1045148819634
Conventional,1.8500000000000008,9749.872839557718,884.6693330755718
Conventional,1.9000000000000008,9734.299093622814,884.7457299619157
Conventional,1.9500000000000006,9669.716125660969,884.2024792144981
Conventional,2.0000000000000004,9517.97823413804,882.3191907127396
Conventional,2.0500000000000007,9634.638871174573,884.1720512053852
Conventional,2.100000000000001,9674.870472577624,884.5828597752283
Conventional,2.150000000000001,9653.441308942933,884.1083792432505
Conventional,2.2000000000000006,9576.521049088784,883.009018304215
Conventional,2.250000000000001,9439.322343379896,881.7662596601675
Conventional,2.3000000000000007,9544.659071500151,882.5849601354545
Conventional,2.350000000000001,9591.639712948278,883.2218101402955
Conventional,2.400000000000001,9582.801947873004,883.340899012094
Conventional,2.450000000000001,9521.836076860833,882.8757537129311
Conventional,2.500000000000001,9354.093336286058,881.3470157520259
Conventional,2.5500000000000007,9442.51123710042,882.2462559627755
Conventional,2.600000000000001,9389.651419293961,881.7419895442723
Conventional,2.650000000000001,9291.939304666288,880.5742294726748
Conventional,2.700000000000001,9159.082972755945,878.8454429672242
Conventional,2.750000000000001,8952.611145654111,876.7362603583355
Conventional,2.800000000000001,9054.184822206,877.9646099340823
Conventional,2.850000000000001,9085.816102060091,878.7134599907452
Conventional,2.900000000000001,9078.1103693878,878.751016971095
Conventional,2.950000000000001,9018.816196513151,878.0205348472413
Conventional,3.000000000000001,8852.241679830158,876.1935959576167
Square,0.1,7172.032623536144,833.9974630355199
Square,0.15000000000000002,7172.032623536144,833.9974630355199
Square,0.20000000000000004,7172.032623536144,833.9974630355199
Square,0.25000000000000006,7172.032623536144,833.9974630355197
Square,0.30000000000000004,7768.6615318327895,838.0152232081356
Square,0.3500000000000001,8050.490112198015,841.41914720944
Square,0.40000000000000013,8223.0368803945,844.3551657921649
Square,0.45000000000000007,8344.550036483122,846.8832298895162
Square,0.5000000000000001,8436.160502062063,848.9940579079644
Square,0.5500000000000002,8807.27164064571,855.3822905010621
Square,0.6000000000000002,9100.998568403114,861.2652568040069
Square,0.6500000000000001,9332.781120006437,865.9736962407013
Square,0.7000000000000002,9504.973600376847,869.3201506932841
Square,0.7500000000000002,9623.71118503501,871.4627842638823
Square,0.8000000000000002,9738.693388056643,873.0417529976778
Square,0.8500000000000002,9792.571498753627,873.6415271155993
Square,0.9000000000000002,9797.31395819786,873.4825882735986
Square,0.9500000000000003,9765.344147290069,872.7708429512776
Square,1.0000000000000004,9707.874999446733,871.6688384451461
Square,1.0500000000000003,9636.189445543363,870.8075474840564
Square,1.1000000000000005,9544.651946589081,869.6223740983195
Square,1.1500000000000004,9438.54938783213,868.1789985011205
Square,1.2000000000000004,9323.304666289814,866.5629381143054
Square,1.2500000000000004,9202.880406692606,864.7969278124486
Square,1.3000000000000005,9131.45203176139,863.5634503806725
Square,1.3500000000000005,9047.133102513457,862.0762975494737
Square,1.4000000000000006,8950.916188503112,860.367480576638
Square,1.4500000000000006,8841.059450344595,858.306499951897
Square,1.5000000000000004,8716.153827826318,855.7711663453337
Square,1.5500000000000005,8693.200315752065,855.6618389250186
Square,1.6000000000000005,8650.089457394159,855.1063260478682
Square,1.6500000000000006,8587.60980395786,854.1390832368677
Square,1.7000000000000006,8501.708117458296,852.5932767025697
Square,1.7500000000000007,8382.101953198695,849.9606006311367
Square,1.8000000000000007,8431.615170475514,852.0620670566744
Square,1.8500000000000008,8464.894744354344,853.4908219629746
Square,1.9000000000000008,8476.355904185923,854.3286469390448
Square,1.9500000000000006,8451.499031493113,854.4177199856346
Square,2.0000000000000004,8338.322259571523,852.1341641435318
Square,2.0500000000000007,8618.293035670129,858.2911951729427
Square,2.100000000000001,8916.759598233497,862.2987165140917
Square,2.150000000000001,9184.110063429347,864.6951226472396
Square,2.2000000000000006,9367.940552207996,866.0960358882072
Square,2.250000000000001,9323.042683796275,867.1576612951419
Square,2.3000000000000007,9292.986357203414,865.8720942734403
Square,2.350000000000001,9126.115950814215,864.6625375701193
Square,2.400000000000001,8893.508046164581,862.9588286175799
Square,2.450000000000001,8603.03332088836,860.1430502495575
Square,2.500000000000001,8268.688520072432,854.9540881579285
Square,2.5500000000000007,8349.541422519898,857.5293463696681
Square,2.600000000000001,8326.660414446309,857.5416878918286
Square,2.650000000000001,8243.469303753958,856.5836763208965
Square,2.700000000000001,8112.813650973076,854.7517822546499
Square,2.750000000000001,7926.867573158244,851.2564070489825
Square,2.800000000000001,8064.857592237597,854.3158913490091
Square,2.850000000000001,8152.715616424342,855.7424942666241
Square,2.900000000000001,8190.624330454626,856.1993332938086
Square,2.950000000000001,8162.099849101336,855.6677235170636
Square,3.000000000000001,8024.2510655551405,852.8717117409867
Hexagonal,0.1,7484.320928766888,827.5488437582009
Hexagonal,0.15000000000000002,7484.320928766888,827.5488437582009
Hexagonal,0.20000000000000004,7484.320928766888,827.5488437582009
Hexagonal,0.25000000000000006,7484.320928766887,827.5488437582007
