Configuration,Factor,Volume,Entropy
Widefield,0,7951.270488095775,817.9160751090257
Conventional,0,11815.382664626206,907.8409766965342
Square,0,9886.467780021389,876.2407862404056
Hexagonal,0,9164.39162579099,857.4534972476944
Conventional,0.1,6809.180267239582,850.9048701993291
Conventional,0.15000000000000002,6809.180267239582,850.9048701993291
Conventional,0.20000000000000004,6809.180267239582,850.9048701993291
Conventional,0.25000000000000006,7361.444343817066,854.8152872252962
Conventional,0.30000000000000004,7837.893168101311,859.3019138831721
Conventional,0.3500000000000001,8399.981363426024,865.754155412495
Conventional,0.40000000000000013,8776.922297195073,871.2382256891298
Conventional,0.45000000000000007,9153.258601379814,876.7731630966056
Conventional,0.5000000000000001,9708.39507887324,884.2882052941876
Conventional,0.5500000000000002,10270.404868264064,891.8602984210348
Conventional,0.6000000000000002,10718.45879469207,897.5302637577632
Conventional,0.6500000000000001,11094.473392420425,901.5791230716021
Conventional,0.7000000000000002,11411.056371676967,904.3664032033316
Conventional,0.7500000000000002,11620.978422664066,905.9437128943093
Conventional,0.8000000000000002,11728.629497058755,906.5085026641096
Conventional,0.8500000000000002,11744.518111221912,906.2632875838052
Conventional,0.9000000000000002,11688.580021656348,905.5321560013489
Conventional,0.9500000000000003,11580.654862860243,904.5032124274333
Conventional,1.0000000000000004,11436.702750492532,903.2600895443225
Conventional,1.0500000000000003,11268.901581295806,901.7367631824233
Conventional,1.1000000000000005,11099.405355701045,900.1759940660179
Conventional,1.1500000000000004,10930.264131039945,898.5555476494413
Conventional,1.2000000000000004,10761.028009941945,896.839772757412
Conventional,1.2500000000000004,10595.077322835716,894.9528034784483
Conventional,1.3000000000000005,10438.355417827395,893.0039277944683
Conventional,1.3500000000000005,10300.750116109728,891.3165132998605
Conventional,1.4000000000000006,10173.899666457257,889.7665266406246
Conventional,1.4500000000000006,10048.363770849024,888.142654591657
Conventional,1.5000000000000004,9940.212176020912,886.8061144616124
Conventional,1.5500000000000005,9860.412369071852,886.0782885896615
Conventional,1.6000000000000005,9791.428967044154,885.5856450554868
Conventional,1.6500000000000006,9734.604622348164,885.3209978917284
Conventional,1.7000000000000006,9695.546952222705,885.2227935067904
Conventional,1.7500000000000007,9679.814893694585,885.4344190990714
Conventional,1.8000000000000007,9696.199108785342,886.1208450993596
Conventional,1.8500000000000008,9729.330643077343,886.9601930785718
Conventional,1.9000000000000008,9738.42442055945,887.4174185139641
Conventional,1.9500000000000006,9736.776496779257,887.9111492261068
Conventional,2.0000000000000004,9736.639190414193,888.3528919202998
Conventional,2.0500000000000007,9716.37481613133,888.3200127084447
Conventional,2.100000000000001,9733.36299920918,888.5164605467057
Conventional,2.150000000000001,9801.771972594011,888.9772488293481
Conventional,2.2000000000000006,9890.357724537038,889.2979405417414
Conventional,2.250000000000001,9943.310130424601,889.5393200640068
Conventional,2.3000000000000007,9926.193570221221,889.5417463226419
Conventional,2.350000000000001,9884.160831930827,889.4505661792035
Conventional,2.400000000000001,9830.932674668666,889.2421919601196
Conventional,2.450000000000001,9771.58342447685,888.9999410144366
Conventional,2.500000000000001,9708.036845427057,888.5833057471808
Conventional,2.5500000000000007,9692.425615124168,888.7556590632022
Conventional,2.600000000000001,9695.489431586426,889.0301770997203
Conventional,2.650000000000001,9711.480330921757,889.2444679270596
Conventional,2.700000000000001,9743.072235345851,889.4095813677799
Conventional,2.750000000000001,9811.206501723917,889.8688686241879
Conventional,2.800000000000001,9901.39310945498,890.3868317261068
Conventional,2.850000000000001,9992.547645014645,890.8808400390743
Conventional,2.900000000000001,10021.65305577432,890.7309797730309
Conventional,2.950000000000001,10000.810455184384,890.3192168243095
Conventional,3.000000000000001,9969.0339237485,890.1701761808498
Square,0.1,7172.032623536144,833.9974630355199
Square,0.15000000000000002,7172.032623536144,833.9974630355199
Square,0.20000000000000004,7172.032623536144,833.9974630355199
Square,0.25000000000000006,7489.319566152884,835.8256576039076
Square,0.30000000000000004,7749.485409198328,837.9899206153268
Square,0.3500000000000001,8064.123234217159,841.6416573566102
Square,0.40000000000000013,8271.919336975905,845.283343320982
Square,0.45000000000000007,8459.59444562588,848.9557058222124
Square,0.5000000000000001,8734.2501181208,854.1926436611636
Square,0.5500000000000002,9023.752689562392,860.2046840149875
Square,0.6000000000000002,9268.906818275045,865.3300967805014
Square,0.6500000000000001,9482.809365535928,869.3458465642401
Square,0.7000000000000002,9650.172757935106,872.1632197822597
Square,0.7500000000000002,9765.706982987347,874.0091734900429
Square,0.8000000000000002,9830.841834702594,874.8195397392319
Square,0.8500000000000002,9839.619993632316,874.7121798623679
Square,0.9000000000000002,9804.038921655372,874.0009416438912
Square,0.9500000000000003,9733.705835802286,872.8192569832231
Square,1.0000000000000004,9634.460074226146,871.2028133942082
Square,1.0500000000000003,9514.969774203511,869.2355248410164
Square,1.1000000000000005,9394.919132442457,867.2512104077466
Square,1.1500000000000004,9271.898201684557,865.1095606880123
Square,1.2000000000000004,9142.651661185711,862.7243037065364
Square,1.2500000000000004,9018.253339278768,860.4586709433012
Square,1.3000000000000005,8910.610711576615,858.5380181613807
Square,1.3500000000000005,8819.562612132799,857.0063115206224
Square,1.4000000000000006,8734.802294389556,855.611282543605
Square,1.4500000000000006,8647.90385443608,854.2110400139526
Square,1.5000000000000004,8585.71005396248,853.3773480237613
Square,1.5500000000000005,8555.11108791259,853.3187392249273
Square,1.6000000000000005,8514.640411338813,853.2042290309328
Square,1.6500000000000006,8461.849952105633,853.0260483047977
Square,1.7000000000000006,8425.433391854658,853.1367423958541
Square,1.7500000000000007,8395.42836179606,853.2866675675434
Square,1.8000000000000007,8378.901578069706,853.7095407466757
Square,1.8500000000000008,8373.456233694173,854.3128504887129
Square,1.9000000000000008,8381.572448611643,854.9077494062348
Square,1.9500000000000006,8414.946744764879,855.7380955575418
Square,2.0000000000000004,8485.023894853452,856.9083407854047
Square,2.0500000000000007,8541.410331030125,857.5727211775062
Square,2.100000000000001,8577.036423177535,858.0271356484017
Square,2.150000000000001,8611.103168691649,858.293724134141
Square,2.2000000000000006,8607.569107948464,858.0477993391504
Square,2.250000000000001,8566.341860289973,857.4842863357907
Square,2.3000000000000007,8504.937917208055,856.876322501477
Square,2.350000000000001,8464.644941924003,856.6022784423122
Square,2.400000000000001,8437.853836511642,856.3998864554097
Square,2.450000000000001,8410.51612311882,856.2931715711661
Square,2.500000000000001,8378.907903734624,855.9732760500739
Square,2.5500000000000007,8392.122975047085,856.2849765111231
Square,2.600000000000001,8417.499637721045,856.7525171026941
Square,2.650000000000001,8442.862916447111,857.2202038524628
Square,2.700000000000001,8471.57183867659,857.6110949953858
Square,2.750000000000001,8508.519181771258,858.1471352088793
Square,2.800000000000001,8541.158125907952,858.4343836216966
Square,2.850000000000001,8572.61016717882,858.5992396684585
Square,2.900000000000001,8579.960984014375,858.1965689124852
Square,2.950000000000001,8586.150605398656,857.7300668129934
Square,3.000000000000001,8600.456847875428,857.667083576466
Hexagonal,0.1,7484.320928766888,827.5488437582009
Hexagonal,0.15000000000000002,7484.320928766888,827.5488437582009
Hexagonal,0.20000000000000004,7484.320928766888,827.5488437582009
Hexagonal,0.25000000000000006,7673.788386802408,828.5138923989166
