size_low_pass,size_notch,Volume,Entropy
0.2,0.2,0.0,-0.0
0.2,0.4,221.4381626635674,880.6288917653621
0.2,0.6,245.5411323823143,896.8127065668157
0.2,0.8,239.109281840672,869.3212092958731
0.2,1.0,222.25110929333934,835.296717855572
0.2,1.2,200.37808147486803,816.3908747954164
0.2,1.4,189.47409324461464,810.7129271634869
0.2,1.6,189.43294672014054,812.1268856461894
0.2,1.8,191.8104607027793,814.7355592841864
0.2,2.0,200.6422415750843,824.5462398001443
0.2,2.2,203.8578245266494,828.5888486560044
0.2,2.4,201.91866430339726,825.2320252150957
0.2,2.6,188.15190448237527,814.9766400560815
0.2,2.8,202.15184119968262,821.4747227619645
0.2,3.0,196.3969008411185,815.150927306797
0.2,3.2,200.2409953048068,823.1593362285483
0.2,3.4,179.90730259863875,809.5517630973978
0.2,3.6,193.57513340105612,818.617350816734
0.2,3.8,197.66853599794874,816.7094742035548
0.2,4.0,197.2969067912368,817.3910186734976
0.2,4.2,198.69435027378734,817.6558019460625
0.2,4.4,197.60894813895035,814.116012648959
0.2,4.6,201.11064000507983,819.4474728680319
0.2,4.8,198.84921589048628,823.2861693975991
0.2,5.0,178.5429648577033,813.0558585298293
0.4,0.2,0.0,-0.0
0.4,0.4,230.3655832467278,887.8370222701901
0.4,0.6,251.56528242751565,902.8782240392445
0.4,0.8,243.91293493334103,875.2154954343177
0.4,1.0,225.39353159545794,840.3510803404158
0.4,1.2,203.25359674700823,821.3924410242909
0.4,1.4,192.11586506408236,815.2965845168474
0.4,1.6,191.6962811674449,816.4206709242987
0.4,1.8,193.6742477489081,818.8471736305751
0.4,2.0,202.83396054786897,828.7668870329027
0.4,2.2,206.06989660254712,832.6720925054581
0.4,2.4,204.16689797226226,829.3171198823271
0.4,2.6,190.3014485770405,819.4756548574574
0.4,2.8,204.7336468260507,826.3512363954142
0.4,3.0,198.888284454507,819.882559859798
0.4,3.2,202.68056224256281,827.8625266732
0.4,3.4,183.25074774464332,815.3240091255154
0.4,3.6,195.99169351110794,823.4774853152566
0.4,3.8,199.48587431131088,820.6146497080293
0.4,4.0,199.32470799442055,821.6012630351984
0.4,4.2,200.58749439327107,821.8828190055367
0.4,4.4,199.93137445587035,818.7601531717117
0.4,4.6,203.70159259056894,824.5390048043348
0.4,4.8,201.18935457632375,827.3660477604285
0.4,5.0,182.14125394104371,818.3418561147615
0.6,0.2,0.0,-0.0
0.6,0.4,241.570408287872,898.2051865725512
0.6,0.6,257.4157750148928,907.8082419741598
