Configuration,Lateral factor,Axial factor,Volume,Entropy
Widefield,0,0,209.35259509967923,821.5049054459661
Conventional,0,0,356.1982985064572,924.716080852796
Square,0,0,271.48802262048736,883.3749720981855
Hexagonal,0,0,304.04195029864877,899.9391732901857
Conventional,0.4,0.4,221.83343091698774,915.4183700118356
Conventional,0.4,0.6000000000000001,225.1726317718822,913.0300539677573
Conventional,0.4,0.8000000000000002,227.45531549614142,911.2621975215443
Conventional,0.4,1.0000000000000002,228.33413387253063,910.5467821189894
Conventional,0.4,1.2000000000000002,234.7585556356535,908.2982334403521
Conventional,0.4,1.4000000000000004,238.0908753180804,907.6623829073437
Conventional,0.4,1.6000000000000005,242.20702935370298,905.6554517050214
Conventional,0.4,1.8000000000000003,245.12200463201862,902.3112051404048
Conventional,0.4,2.0000000000000004,245.6944473490076,899.0222021543326
Conventional,0.4,2.2000000000000006,245.33307835081564,893.3756397489842
Conventional,0.4,2.400000000000001,242.84432992785386,887.8590514760564
Conventional,0.4,2.6000000000000005,239.7998189400223,883.2688423121103
Conventional,0.4,2.8000000000000007,236.02321495464423,879.5209700901501
Conventional,0.4,3.000000000000001,231.91339969503383,876.0318319668645
Conventional,0.4,3.2000000000000006,228.33483603368478,874.3672800131851
Conventional,0.4,3.400000000000001,224.84672774882054,873.0985740557818
Conventional,0.4,3.600000000000001,221.73756157481296,871.9840315275945
Conventional,0.4,3.800000000000001,218.9594736420982,870.9690367224382
Conventional,0.4,4.000000000000002,216.59649062685946,870.5314648579939
Conventional,0.4,4.200000000000001,214.31979720630576,869.061083615086
Conventional,0.4,4.400000000000002,212.23873985007947,867.9305470497582
Conventional,0.4,4.600000000000001,210.28059989404062,866.6620687783926
Conventional,0.4,4.800000000000002,208.26660288115292,865.0935580065793
Conventional,0.4,5.000000000000002,205.8357666059697,862.7440409921649
Conventional,0.6000000000000001,0.4,232.3252636848662,918.4740860898481
Conventional,0.6000000000000001,0.6000000000000001,235.68979003318222,916.060558310444
Conventional,0.6000000000000001,0.8000000000000002,237.97516730527948,914.2709139552636
Conventional,0.6000000000000001,1.0000000000000002,238.8507615529835,913.5458655426571
Conventional,0.6000000000000001,1.2000000000000002,245.4238899605345,911.3392446448191
Conventional,0.6000000000000001,1.4000000000000004,248.84280442730915,910.748474960137
Conventional,0.6000000000000001,1.6000000000000005,253.10944113022896,908.8227926498645
Conventional,0.6000000000000001,1.8000000000000003,256.1400969616604,905.5721074534581
Conventional,0.6000000000000001,2.0000000000000004,256.7199971274463,902.3378667909683
Conventional,0.6000000000000001,2.2000000000000006,256.36171114445597,896.7708842216343
Conventional,0.6000000000000001,2.400000000000001,253.7580538129816,891.2935868444972
Conventional,0.6000000000000001,2.6000000000000005,250.59109774882734,886.7463058764116
Conventional,0.6000000000000001,2.8000000000000007,246.6673458371605,883.0417144915955
Conventional,0.6000000000000001,3.000000000000001,242.37634679230226,879.5790146046446
Conventional,0.6000000000000001,3.2000000000000006,238.6726360844798,877.9590479223579
Conventional,0.6000000000000001,3.400000000000001,235.0473477529715,876.727562376771
Conventional,0.6000000000000001,3.600000000000001,231.81812181835912,875.6458212354449
Conventional,0.6000000000000001,3.800000000000001,228.9343211630285,874.658396150406
Conventional,0.6000000000000001,4.000000000000002,226.48384178762075,874.2605023087352
Conventional,0.6000000000000001,4.200000000000001,224.11442980353974,872.805195562594
Conventional,0.6000000000000001,4.400000000000002,221.95198078773103,871.7071678165506
Conventional,0.6000000000000001,4.600000000000001,219.9102809699587,870.4631670839348
Conventional,0.6000000000000001,4.800000000000002,217.79151792874472,868.8902135174083
Conventional,0.6000000000000001,5.000000000000002,215.22966804417774,866.5393633205787
Conventional,0.8000000000000002,0.4,240.13736557919464,921.140390689596
Conventional,0.8000000000000002,0.6000000000000001,243.49948631405127,918.7143380402141
Conventional,0.8000000000000002,0.8000000000000002,245.77016307016999,916.9132453065947
Conventional,0.8000000000000002,1.0000000000000002,246.63631603533128,916.1830599249334
Conventional,0.8000000000000002,1.2000000000000002,253.2939328685361,914.0234812818417
Conventional,0.8000000000000002,1.4000000000000004,256.76547100626846,913.4761069131459
Conventional,0.8000000000000002,1.6000000000000005,261.1327922570457,911.6212628280131
Conventional,0.8000000000000002,1.8000000000000003,264.2403595832459,908.4494718994894
Conventional,0.8000000000000002,2.0000000000000004,264.8192344999948,905.2612123847291
Conventional,0.8000000000000002,2.2000000000000006,264.4577801341828,899.7592814820703
Conventional,0.8000000000000002,2.400000000000001,261.76327321964305,894.3132476102016
Conventional,0.8000000000000002,2.6000000000000005,258.5032889379314,889.8008670987335
Conventional,0.8000000000000002,2.8000000000000007,254.4707010556479,886.1329867549551
Conventional,0.8000000000000002,3.000000000000001,250.04429472481053,882.6933885652608
Conventional,0.8000000000000002,3.2000000000000006,246.2519288080438,881.1109458301022
Conventional,0.8000000000000002,3.400000000000001,242.52793847931235,879.9122277961272
Conventional,0.8000000000000002,3.600000000000001,239.21260423084462,878.8583403917585
Conventional,0.8000000000000002,3.800000000000001,236.2532138145427,877.8938889355777
Conventional,0.8000000000000002,4.000000000000002,233.74125782021162,877.5294438418243
Conventional,0.8000000000000002,4.200000000000001,231.30429767417394,876.086113069857
Conventional,0.8000000000000002,4.400000000000002,229.08388376531332,875.0149117383146
Conventional,0.8000000000000002,4.600000000000001,226.98145461793166,873.7913678454149
Conventional,0.8000000000000002,4.800000000000002,224.7829759327994,872.2161330370031
Conventional,0.8000000000000002,5.000000000000002,222.12154970041394,869.866069807698
Conventional,1.0000000000000002,0.4,243.3446371938307,922.3587921114062
Conventional,1.0000000000000002,0.6000000000000001,246.70165844147715,919.9305924408283
Conventional,1.0000000000000002,0.8000000000000002,248.9630822046131,918.127145390473
Conventional,1.0000000000000002,1.0000000000000002,249.82400811164518,917.3958541544957
Conventional,1.0000000000000002,1.2000000000000002,256.51104547632247,915.2599662679374
Conventional,1.0000000000000002,1.4000000000000004,260.00170762989273,914.7325168123941
Conventional,1.0000000000000002,1.6000000000000005,264.40764018176054,912.9080731265544
Conventional,1.0000000000000002,1.8000000000000003,267.544376391167,909.7693061045355
Conventional,1.0000000000000002,2.0000000000000004,268.1212029445003,906.6002287134294
Conventional,1.0000000000000002,2.2000000000000006,267.75682679886893,901.1248584330486
Conventional,1.0000000000000002,2.400000000000001,265.0236893267778,895.6913758864997
Conventional,1.0000000000000002,2.6000000000000005,261.72489406001847,891.1931704536187
Conventional,1.0000000000000002,2.8000000000000007,257.64761884971824,887.5406751532694
Conventional,1.0000000000000002,3.000000000000001,253.1654498304279,884.1109559883979
Conventional,1.0000000000000002,3.2000000000000006,249.33746847591232,882.5441074641096
Conventional,1.0000000000000002,3.400000000000001,245.57361816573962,881.3594615115086
Conventional,1.0000000000000002,3.600000000000001,242.22352351108609,880.3172372896379
Conventional,1.0000000000000002,3.800000000000001,239.23367900279942,879.3623314577089
Conventional,1.0000000000000002,4.000000000000002,236.69714595551753,879.0118265984015
Conventional,1.0000000000000002,4.200000000000001,234.23273450876152,877.5733404825148
Conventional,1.0000000000000002,4.400000000000002,231.98901455648092,876.5131808670201
Conventional,1.0000000000000002,4.600000000000001,229.86195030053807,875.2981473627295
Conventional,1.0000000000000002,4.800000000000002,227.63049874121663,873.7224719294883
Conventional,1.0000000000000002,5.000000000000002,224.92789912885263,871.3733381110526
Conventional,1.2000000000000002,0.4,259.99806179558095,927.1485512627814
Conventional,1.2000000000000002,0.6000000000000001,263.3023335630223,924.7952250210723
Conventional,1.2000000000000002,0.8000000000000002,265.49342924583647,923.0460535123901
Conventional,1.2000000000000002,1.0000000000000002,266.3173276767885,922.3365481441085
Conventional,1.2000000000000002,1.2000000000000002,273.0970107703167,920.4170217503139
Conventional,1.2000000000000002,1.4000000000000004,276.6428818893949,920.0209589409617
Conventional,1.2000000000000002,1.6000000000000005,281.2127750623897,918.3990473096301
Conventional,1.2000000000000002,1.8000000000000003,284.48800696573267,915.4924745087104
Conventional,1.2000000000000002,2.0000000000000004,285.0640480432851,912.4799386389618
Conventional,1.2000000000000002,2.2000000000000006,284.72297437836494,907.2251903737267
Conventional,1.2000000000000002,2.400000000000001,281.8345933353179,901.9353072034669
Conventional,1.2000000000000002,2.6000000000000005,278.3713264436421,897.5615871354686
Conventional,1.2000000000000002,2.8000000000000007,274.09382971217485,894.0198863429115
Conventional,1.2000000000000002,3.000000000000001,269.3458402516088,890.6656185654683
Conventional,1.2000000000000002,3.2000000000000006,265.3475600556459,889.1723262598962
Conventional,1.2000000000000002,3.400000000000001,261.38456588755685,888.0494666371204
Conventional,1.2000000000000002,3.600000000000001,257.85997770863867,887.0548529229843
Conventional,1.2000000000000002,3.800000000000001,254.7200658489913,886.1427915625598
Conventional,1.2000000000000002,4.000000000000002,252.0528094602759,885.8391462285634
Conventional,1.2000000000000002,4.200000000000001,249.45851010624477,884.432465035912
Conventional,1.2000000000000002,4.400000000000002,247.09986273708859,883.4214125789622
Conventional,1.2000000000000002,4.600000000000001,244.85275959586272,882.2488267824275
Conventional,1.2000000000000002,4.800000000000002,242.4611353094093,880.6866750132422
Conventional,1.2000000000000002,5.000000000000002,239.5602477947226,878.3650522103212
Conventional,1.4000000000000004,0.4,268.8978132955557,930.713946563351
Conventional,1.4000000000000004,0.6000000000000001,272.19773276205325,928.4556792151296
Conventional,1.4000000000000004,0.8000000000000002,274.37042104291413,926.7793358628209
Conventional,1.4000000000000004,1.0000000000000002,275.1827681611204,926.1001598855952
Conventional,1.4000000000000004,1.2000000000000002,282.02538871006976,924.333737006334
Conventional,1.4000000000000004,1.4000000000000004,285.5993587188568,924.0102430291076
Conventional,1.4000000000000004,1.6000000000000005,290.2394753155345,922.4793278761679
Conventional,1.4000000000000004,1.8000000000000003,293.56590624486336,919.6714505604265
Conventional,1.4000000000000004,2.0000000000000004,294.1312365381628,916.7304597323041
Conventional,1.4000000000000004,2.2000000000000006,293.7809417036064,911.5716386332284
Conventional,1.4000000000000004,2.400000000000001,290.80138147648626,906.3514125114848
Conventional,1.4000000000000004,2.6000000000000005,287.23836853503366,902.0320828402893
Conventional,1.4000000000000004,2.8000000000000007,282.84278334380826,898.5396790956289
Conventional,1.4000000000000004,3.000000000000001,277.9469367394086,895.221621391921
Conventional,1.4000000000000004,3.2000000000000006,273.84378424673525,893.7501831320043
Conventional,1.4000000000000004,3.400000000000001,269.7658812080966,892.6490090656406
Conventional,1.4000000000000004,3.600000000000001,266.1390895733891,891.666729820008
Conventional,1.4000000000000004,3.800000000000001,262.91202759651276,890.7674932003986
Conventional,1.4000000000000004,4.000000000000002,260.165173006844,890.4701439004106
Conventional,1.4000000000000004,4.200000000000001,257.4990184576649,889.0762150358993
Conventional,1.4000000000000004,4.400000000000002,255.07341826643983,888.0770468572917
Conventional,1.4000000000000004,4.600000000000001,252.75994459809147,886.9179780649243
Conventional,1.4000000000000004,4.800000000000002,250.28928115805996,885.373478072444
Conventional,1.4000000000000004,5.000000000000002,247.29020665928812,883.076726696955
Conventional,1.6000000000000005,0.4,279.89817159974666,933.6256488379452
Conventional,1.6000000000000005,0.6000000000000001,283.21201670970675,931.541618596505
Conventional,1.6000000000000005,0.8000000000000002,285.3762935862445,929.9990930014284
Conventional,1.6000000000000005,1.0000000000000002,286.1801310080516,929.3753742919529
Conventional,1.6000000000000005,1.2000000000000002,293.08798833882855,927.8583144242285
Conventional,1.6000000000000005,1.4000000000000004,296.6725097280093,927.6384737292025
Conventional,1.6000000000000005,1.6000000000000005,301.37223178521475,926.2599270001573
Conventional,1.6000000000000005,1.8000000000000003,304.7513406849647,923.633707011923
Conventional,1.6000000000000005,2.0000000000000004,305.31908174345733,920.8351243365021
Conventional,1.6000000000000005,2.2000000000000006,304.9882344965033,915.8808866589699
Conventional,1.6000000000000005,2.400000000000001,301.94222237171624,910.8232260191965
Conventional,1.6000000000000005,2.6000000000000005,298.28540826955043,906.6229119693586
Conventional,1.6000000000000005,2.8000000000000007,293.7632507310827,903.2234595679647
Conventional,1.6000000000000005,3.000000000000001,288.7035341247274,899.9733538844197
Conventional,1.6000000000000005,3.2000000000000006,284.4658522489945,898.5257912607667
Conventional,1.6000000000000005,3.400000000000001,280.2410438294215,897.4411138670943
Conventional,1.6000000000000005,3.600000000000001,276.4819190339063,896.4636294624288
Conventional,1.6000000000000005,3.800000000000001,273.1437131055611,895.5748160540281
Conventional,1.6000000000000005,4.000000000000002,270.2841008138483,895.2623385568498
Conventional,1.6000000000000005,4.200000000000001,267.53597933318844,893.8905600129573
Conventional,1.6000000000000005,4.400000000000002,265.0262377405496,892.8982702473908
Conventional,1.6000000000000005,4.600000000000001,262.6351650239672,891.752616345039
Conventional,1.6000000000000005,4.800000000000002,260.084176400302,890.239668520068
Conventional,1.6000000000000005,5.000000000000002,256.9884692227792,887.9894411768788
Conventional,1.8000000000000003,0.4,290.2525021273635,935.6498384666972
Conventional,1.8000000000000003,0.6000000000000001,293.6215260050195,933.7626835359929
Conventional,1.8000000000000003,0.8000000000000002,295.81175261278054,932.3716300483802
Conventional,1.8000000000000003,1.0000000000000002,296.6220224281932,931.8105677675267
Conventional,1.8000000000000003,1.2000000000000002,303.6253544846562,930.5606888315367
Conventional,1.8000000000000003,1.4000000000000004,307.22475028440266,930.444129793541
Conventional,1.8000000000000003,1.6000000000000005,311.9888723341406,929.2371750723191
Conventional,1.8000000000000003,1.8000000000000003,315.4420314168964,926.8259271526836
Conventional,1.8000000000000003,2.0000000000000004,316.04907296165914,924.1984325510225
Conventional,1.8000000000000003,2.2000000000000006,315.7924347122549,919.5005721345253
Conventional,1.8000000000000003,2.400000000000001,312.74308824291313,914.6501016395783
Conventional,1.8000000000000003,2.6000000000000005,309.03596648928703,910.6008640925214
Conventional,1.8000000000000003,2.8000000000000007,304.418379104982,907.3168658882847
Conventional,1.8000000000000003,3.000000000000001,299.22431895588454,904.1500131201811
Conventional,1.8000000000000003,3.2000000000000006,294.8506762743178,902.726700075751
Conventional,1.8000000000000003,3.400000000000001,290.47882837342047,901.6517276564808
Conventional,1.8000000000000003,3.600000000000001,286.5841936364328,900.6729157392195
Conventional,1.8000000000000003,3.800000000000001,283.1321690788087,899.7908122027292
Conventional,1.8000000000000003,4.000000000000002,280.14873802088283,899.4477539820136
Conventional,1.8000000000000003,4.200000000000001,277.32723008803185,898.1035197103665
Conventional,1.8000000000000003,4.400000000000002,274.7353666421419,897.1136432371036
Conventional,1.8000000000000003,4.600000000000001,272.2746881175398,895.9780680509402
Conventional,1.8000000000000003,4.800000000000002,269.6648624717577,894.4986674740678
Conventional,1.8000000000000003,5.000000000000002,266.5025083821565,892.2999118300364
Conventional,2.0000000000000004,0.4,295.59632103461036,935.8542848981754
Conventional,2.0000000000000004,0.6000000000000001,299.01283505718015,934.0780975385157
Conventional,2.0000000000000004,0.8000000000000002,301.2326789635547,932.7725508732407
Conventional,2.0000000000000004,1.0000000000000002,302.0533923933416,932.2467690398801
Conventional,2.0000000000000004,1.2000000000000002,309.13029886902444,931.1501923082482
Conventional,2.0000000000000004,1.4000000000000004,312.74654563724255,931.0946105662227
Conventional,2.0000000000000004,1.6000000000000005,317.57352906178403,930.0117867655716
Conventional,2.0000000000000004,1.8000000000000003,321.1189710552669,927.7665921803045
Conventional,2.0000000000000004,2.0000000000000004,321.7983483721106,925.2681577841226
Conventional,2.0000000000000004,2.2000000000000006,321.66726873899074,920.7708919507778
Conventional,2.0000000000000004,2.400000000000001,318.68889106725965,916.0790048999711
Conventional,2.0000000000000004,2.6000000000000005,315.0108102900101,912.1491837058414
Conventional,2.0000000000000004,2.8000000000000007,310.3840924792527,908.9571017510466
Conventional,2.0000000000000004,3.000000000000001,305.14800481322345,905.8538249600435
Conventional,2.0000000000000004,3.2000000000000006,300.71055029792234,904.4543406418983
Conventional,2.0000000000000004,3.400000000000001,296.26294794233854,903.3850829117252
Conventional,2.0000000000000004,3.600000000000001,292.2957758942944,902.4069535793511
Conventional,2.0000000000000004,3.800000000000001,288.78215220151895,901.5297793172873
Conventional,2.0000000000000004,4.000000000000002,285.72570216182856,901.1648706921256
Conventional,2.0000000000000004,4.200000000000001,282.8732680084298,899.8440304002612
Conventional,2.0000000000000004,4.400000000000002,280.24255817027336,898.8613373710665
Conventional,2.0000000000000004,4.600000000000001,277.7525011810136,897.7357651749865
Conventional,2.0000000000000004,4.800000000000002,275.1226102863317,896.2728106915313
Conventional,2.0000000000000004,5.000000000000002,271.9419521978721,894.103804013923
Conventional,2.2000000000000006,0.4,301.10807949945917,932.463193214704
Conventional,2.2000000000000006,0.6000000000000001,304.53265278318804,930.8731099790856
Conventional,2.2000000000000006,0.8000000000000002,306.7539834587547,929.7078907666167
Conventional,2.2000000000000006,1.0000000000000002,307.57387395281637,929.2390860679983
Conventional,2.2000000000000006,1.2000000000000002,314.625773490861,928.4359364560717
Conventional,2.2000000000000006,1.4000000000000004,318.20531182137535,928.5239476035113
Conventional,2.2000000000000006,1.6000000000000005,323.0767201138501,927.744028672647
Conventional,2.2000000000000006,1.8000000000000003,326.77503536052984,925.9080999782965
Conventional,2.2000000000000006,2.0000000000000004,327.63277655046363,923.7353231284054
Conventional,2.2000000000000006,2.2000000000000006,327.80121119109936,919.7040323158468
Conventional,2.2000000000000006,2.400000000000001,325.0740764404122,915.3834390552181
