IncidentAngle,Power,Volume,Volume_a,Entropy
45.0,0.1,280,280,898
45.0,0.2,293,294,918
45.0,0.3,311,312,938
45.0,0.4,327,329,954
45.0,0.5,341,343,966
45.0,0.6,351,354,974
45.0,0.7,358,360,979
45.0,0.8,362,364,983
45.0,0.9,363,366,984
45.0,1.0,364,366,985
45.0,1.1,364,366,985
45.0,1.2,363,365,984
45.0,1.3,362,364,983
45.0,1.4,361,363,982
45.0,1.5,360,362,981
45.0,1.6,359,360,980
45.0,1.7,358,359,979
45.0,1.8,357,358,978
45.0,1.9,356,357,976
45.0,2.0,355,356,975
