IncidentAngle,Power,Volume,Volume_a,Entropy
45.0,0.0,275,275,887
45.0,0.1,289,290,912
45.0,0.2,321,323,947
45.0,0.3,352,355,971
45.0,0.4,372,375,983
45.0,0.5,380,383,989
45.0,0.6,380,384,990
45.0,0.7,376,379,988
45.0,0.8,370,373,986
45.0,0.9,364,367,983
45.0,1.0,358,361,979
45.0,1.1,353,355,976
45.0,1.2,348,350,972
45.0,1.3,344,346,969
45.0,1.4,340,342,966
45.0,1.5,337,339,964
45.0,1.6,334,336,961
45.0,1.7,332,333,959
45.0,1.8,330,331,957
45.0,1.9,328,329,955
45.0,2.0,326,327,953
