IncidentAngle,Power,Volume,Volume_a,Entropy
45.0,0.1,282,283,902
45.0,0.2,302,303,929
45.0,0.3,325,327,953
45.0,0.4,347,349,972
45.0,0.5,364,367,984
45.0,0.6,377,380,993
45.0,0.7,386,390,998
45.0,0.8,392,396,1001
45.0,0.9,397,400,1002
45.0,1.0,400,404,1003
45.0,1.1,402,406,1003
45.0,1.2,404,407,1003
45.0,1.3,405,408,1003
45.0,1.4,406,409,1002
45.0,1.5,407,410,1002
45.0,1.6,407,410,1001
45.0,1.7,408,411,1000
45.0,1.8,408,411,1000
45.0,1.9,408,411,999
45.0,2.0,408,411,999
