ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure
0,0,0,0,267,267,0
9,0.1,0.5,0.5,320,450.874183477064,2
9,0.1,0.5,1,325,466.210040057916,2
9,0.1,0.5,2,306,436.302995645395,1
9,0.1,1,0.5,366,466.210040057916,4
9,0.1,1,1,396,480.932462375535,9
9,0.1,1,2,363,457.084571679227,5
9,0.1,2,0.5,384,436.302995645395,6
9,0.1,2,1,423,457.084571679227,11
9,0.1,2,2,443,474.275957705977,16
9,0.2,0.5,0.5,324,450.874183477064,2
9,0.2,0.5,1,340,466.210040057916,2
9,0.2,0.5,2,333,436.302995645395,2
9,0.2,1,0.5,367,466.210040057916,4
9,0.2,1,1,406,480.932462375535,7
9,0.2,1,2,383,457.084571679227,6
9,0.2,2,0.5,384,436.302995645395,6
9,0.2,2,1,426,457.084571679227,11
9,0.2,2,2,455,474.275957705977,13
9,0.3,0.5,0.5,327,450.874183477064,2
9,0.3,0.5,1,356,466.210040057916,3
9,0.3,0.5,2,360,436.302995645395,5
9,0.3,1,0.5,368,466.210040057916,4
9,0.3,1,1,415,480.932462375535,11
9,0.3,1,2,409,457.084571679227,7
9,0.3,2,0.5,384,436.302995645395,6
9,0.3,2,1,427,457.084571679227,11
9,0.3,2,2,469,474.275957705977,20
9,0.4,0.5,0.5,326,450.874183477064,2
9,0.4,0.5,1,358,466.210040057916,5
9,0.4,0.5,2,367,436.302995645395,3
9,0.4,1,0.5,366,466.210040057916,4
9,0.4,1,1,413,480.932462375535,10
9,0.4,1,2,412,457.084571679227,13
9,0.4,2,0.5,382,436.302995645395,6
9,0.4,2,1,424,457.084571679227,11
9,0.4,2,2,467,474.275957705977,19
9,0.5,0.5,0.5,326,450.874183477064,3
9,0.5,0.5,1,363,466.210040057916,5
9,0.5,0.5,2,374,436.302995645395,5
9,0.5,1,0.5,363,466.210040057916,5
9,0.5,1,1,415,480.932462375535,15
9,0.5,1,2,422,457.084571679227,14
9,0.5,2,0.5,380,436.302995645395,6
9,0.5,2,1,420,457.084571679227,11
9,0.5,2,2,470,474.275957705977,14
9,0.6,0.5,0.5,321,450.874183477064,2
9,0.6,0.5,1,354,466.210040057916,4
9,0.6,0.5,2,370,436.302995645395,4
9,0.6,1,0.5,357,466.210040057916,5
9,0.6,1,1,400,480.932462375535,10
9,0.6,1,2,405,457.084571679227,10
9,0.6,2,0.5,377,436.302995645395,6
9,0.6,2,1,410,457.084571679227,11
9,0.6,2,2,449,474.275957705977,18
9,0.7,0.5,0.5,315,450.874183477064,1
9,0.7,0.5,1,347,466.210040057916,4
9,0.7,0.5,2,368,436.302995645395,4
9,0.7,1,0.5,350,466.210040057916,5
9,0.7,1,1,387,480.932462375535,7
9,0.7,1,2,395,457.084571679227,9
9,0.7,2,0.5,372,436.302995645395,6
9,0.7,2,1,398,457.084571679227,12
9,0.7,2,2,432,474.275957705977,13
9,0.8,0.5,0.5,306,450.874183477064,1
9,0.8,0.5,1,336,466.210040057916,3
9,0.8,0.5,2,361,436.302995645395,6
9,0.8,1,0.5,337,466.210040057916,3
9,0.8,1,1,366,480.932462375535,7
9,0.8,1,2,377,457.084571679227,6
9,0.8,2,0.5,364,436.302995645395,6
9,0.8,2,1,379,457.084571679227,6
9,0.8,2,2,404,474.275957705977,13
9,0.9,0.5,0.5,294,450.874183477064,1
9,0.9,0.5,1,321,466.210040057916,3
9,0.9,0.5,2,353,436.302995645395,5
9,0.9,1,0.5,322,466.210040057916,3
9,0.9,1,1,341,480.932462375535,4
9,0.9,1,2,355,457.084571679227,6
9,0.9,2,0.5,354,436.302995645395,6
9,0.9,2,1,356,457.084571679227,6
9,0.9,2,2,372,474.275957705977,8
9,1,0.5,0.5,322,445.307835532902,2
9,1,0.5,1,348,436.107260418586,4
9,1,0.5,2,370,418.369460296961,7
9,1,1,0.5,348,436.107260418586,4
9,1,1,1,363,425.516376175884,6
9,1,1,2,375,413.729218941095,7
9,1,2,0.5,370,418.369460296961,7
9,1,2,1,375,413.729218941095,7
9,1,2,2,380,408.505535075638,8
18,0.1,0.5,0.5,339,450.874183477064,4
18,0.1,0.5,1,357,466.210040057916,4
18,0.1,0.5,2,347,436.302995645395,3
18,0.1,1,0.5,389,466.210040057916,10
18,0.1,1,1,431,480.932462375535,18
18,0.1,1,2,407,457.084571679227,9
18,0.1,2,0.5,400,436.302995645395,10
18,0.1,2,1,449,457.084571679227,16
18,0.1,2,2,486,474.275957705977,20
18,0.2,0.5,0.5,342,450.874183477064,4
18,0.2,0.5,1,368,466.210040057916,5
18,0.2,0.5,2,368,436.302995645395,4
18,0.2,1,0.5,390,466.210040057916,10
18,0.2,1,1,439,480.932462375535,13
18,0.2,1,2,425,457.084571679227,11
18,0.2,2,0.5,401,436.302995645395,14
18,0.2,2,1,451,457.084571679227,16
18,0.2,2,2,496,474.275957705977,20
18,0.3,0.5,0.5,344,450.874183477064,4
18,0.3,0.5,1,376,466.210040057916,5
18,0.3,0.5,2,382,436.302995645395,5
18,0.3,1,0.5,391,466.210040057916,10
18,0.3,1,1,444,480.932462375535,13
18,0.3,1,2,439,457.084571679227,13
18,0.3,2,0.5,400,436.302995645395,14
18,0.3,2,1,452,457.084571679227,16
18,0.3,2,2,504,474.275957705977,20
18,0.4,0.5,0.5,344,450.874183477064,4
18,0.4,0.5,1,378,466.210040057916,8
18,0.4,0.5,2,386,436.302995645395,8
18,0.4,1,0.5,390,466.210040057916,9
18,0.4,1,1,443,480.932462375535,16
18,0.4,1,2,441,457.084571679227,19
18,0.4,2,0.5,400,436.302995645395,14
18,0.4,2,1,451,457.084571679227,16
18,0.4,2,2,503,474.275957705977,28
18,0.5,0.5,0.5,345,450.874183477064,4
18,0.5,0.5,1,382,466.210040057916,7
18,0.5,0.5,2,391,436.302995645395,8
18,0.5,1,0.5,390,466.210040057916,10
18,0.5,1,1,447,480.932462375535,18
18,0.5,1,2,448,457.084571679227,17
18,0.5,2,0.5,399,436.302995645395,11
18,0.5,2,1,451,457.084571679227,17
18,0.5,2,2,508,474.275957705977,23
18,0.6,0.5,0.5,344,450.874183477064,4
18,0.6,0.5,1,379,466.210040057916,9
18,0.6,0.5,2,389,436.302995645395,11
18,0.6,1,0.5,388,466.210040057916,9
18,0.6,1,1,440,480.932462375535,13
18,0.6,1,2,441,457.084571679227,12
18,0.6,2,0.5,398,436.302995645395,11
18,0.6,2,1,446,457.084571679227,17
18,0.6,2,2,498,474.275957705977,33
18,0.7,0.5,0.5,342,450.874183477064,5
18,0.7,0.5,1,378,466.210040057916,7
18,0.7,0.5,2,389,436.302995645395,8
18,0.7,1,0.5,384,466.210040057916,9
