ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure,measure * products
0,0,0,0,267,267,0,0.0
9.0,1,1,0,322,445.30783553290235,2,0.007
18.0,1,1,0,339,445.30783553290235,6,0.019
27.0,1,1,0,362,445.30783553290235,12,0.043
36.0,1,1,0,387,445.30783553290235,23,0.089
45.0,1,1,0,411,445.30783553290235,29,0.121
54.0,1,1,0,429,445.30783553290235,43,0.183
63.0,1,1,0,437,445.30783553290235,50,0.217
72.0,1,1,0,438,445.30783553290235,72,0.315
81.0,1,1,0,434,445.30783553290235,56,0.242
90.0,1,1,0,426,445.30783553290235,51,0.216
