ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
18,0.3,2,1,452,457,124,128,4834,16,2071
18,0.3,2,2,504,474,113,122,5379,20,2243
18,0.4,0.5,0.5,344,451,161,128,3596,4,1587
18,0.4,0.5,1,378,466,146,125,3968,8,1725
18,0.4,0.5,2,386,436,146,137,4046,8,1747
18,0.4,1,0.5,390,466,143,125,4130,9,1803
18,0.4,1,1,443,481,126,120,4709,16,2010
18,0.4,1,2,441,457,127,128,4667,19,1982
18,0.4,2,0.5,400,436,141,137,4266,14,1869
18,0.4,2,1,451,457,124,128,4822,16,2066
18,0.4,2,2,503,474,113,122,5379,28,2250
18,0.5,0.5,0.5,345,451,161,128,3609,4,1593
18,0.5,0.5,1,382,466,147,125,4019,7,1748
18,0.5,0.5,2,391,436,145,137,4114,8,1780
18,0.5,1,0.5,390,466,143,125,4130,10,1803
18,0.5,1,1,447,481,127,120,4748,18,2020
18,0.5,1,2,448,457,128,128,4754,17,2019
18,0.5,2,0.5,399,436,141,137,4261,11,1871
18,0.5,2,1,451,457,124,128,4823,17,2067
18,0.5,2,2,508,474,114,122,5438,23,2273
18,0.6,0.5,0.5,344,451,160,128,3594,4,1585
18,0.6,0.5,1,379,466,145,125,3989,9,1739
18,0.6,0.5,2,389,436,143,137,4106,11,1786
18,0.6,1,0.5,388,466,143,125,4104,9,1791
18,0.6,1,1,440,481,126,120,4676,13,1998
18,0.6,1,2,441,457,126,128,4677,12,1992
18,0.6,2,0.5,398,436,141,137,4245,11,1862
18,0.6,2,1,446,457,124,128,4771,17,2050
18,0.6,2,2,498,474,113,122,5322,33,2229
18,0.7,0.5,0.5,342,451,160,128,3579,5,1583
18,0.7,0.5,1,378,466,144,125,3976,7,1733
18,0.7,0.5,2,389,436,142,137,4115,8,1795
18,0.7,1,0.5,384,466,143,125,4064,9,1779
18,0.7,1,1,434,481,126,120,4608,13,1972
18,0.7,1,2,436,457,126,128,4631,15,1981
18,0.7,2,0.5,396,436,141,137,4218,11,1849
18,0.7,2,1,440,457,125,128,4700,17,2022
18,0.7,2,2,488,474,114,122,5219,23,2198
18,0.8,0.5,0.5,337,451,159,128,3522,5,1561
18,0.8,0.5,1,371,466,143,125,3910,9,1715
18,0.8,0.5,2,386,436,142,137,4094,11,1795
18,0.8,1,0.5,376,466,142,125,3971,9,1741
18,0.8,1,1,418,481,126,120,4445,16,1922
18,0.8,1,2,423,457,126,128,4503,20,1945
18,0.8,2,0.5,390,436,140,137,4159,11,1832
18,0.8,2,1,426,457,125,128,4545,17,1966
18,0.8,2,2,467,474,115,122,4988,26,2118
18,0.9,0.5,0.5,325,451,157,128,3392,3,1512
18,0.9,0.5,1,355,466,141,125,3741,6,1656
18,0.9,0.5,2,376,436,140,137,3997,11,1767
18,0.9,1,0.5,357,466,141,125,3776,9,1678
18,0.9,1,1,387,481,126,120,4111,13,1805
18,0.9,1,2,395,457,125,128,4213,11,1851
18,0.9,2,0.5,379,436,139,137,4034,11,1784
18,0.9,2,1,397,457,124,128,4236,11,1860
18,0.9,2,2,424,474,116,122,4536,20,1971
18,1,0.5,0.5,339,445,168,135,3567,6,1592
18,1,0.5,1,363,436,157,138,3845,8,1705
18,1,0.5,2,381,418,150,147,4061,12,1797
18,1,1,0.5,363,436,157,138,3845,8,1705
18,1,1,1,374,426,152,143,3985,11,1769
18,1,1,2,384,414,148,149,4106,13,1821
18,1,2,0.5,381,418,150,147,4061,12,1797
18,1,2,1,384,414,148,149,4106,13,1821
18,1,2,2,388,409,147,152,4153,14,1840
27,0.1,0.5,0.5,351,451,158,128,3707,6,1650
27,0.1,0.5,1,366,466,148,125,3866,8,1706
27,0.1,0.5,2,362,436,153,137,3777,3,1644
27,0.1,1,0.5,403,466,139,125,4340,16,1922
27,0.1,1,1,439,481,125,120,4725,17,2054
27,0.1,1,2,419,457,131,128,4453,9,1923
27,0.1,2,0.5,409,436,138,137,4446,22,1986
27,0.1,2,1,454,457,123,128,4941,31,2163
27,0.1,2,2,489,474,113,122,5308,26,2280
27,0.2,0.5,0.5,353,451,157,128,3731,6,1660
27,0.2,0.5,1,375,466,146,125,3960,7,1737
27,0.2,0.5,2,377,436,146,137,3955,6,1719
27,0.2,1,0.5,404,466,139,125,4351,16,1926
27,0.2,1,1,444,481,124,120,4786,16,2079
27,0.2,1,2,431,457,127,128,4596,16,1982
