ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
81,0.2,2,0.5,421,436,4910
81,0.2,2,1,437,457,5125
81,0.2,2,2,448,474,5227
81,0.3,0.5,0.5,386,451,4397
81,0.3,0.5,1,384,466,4296
81,0.3,0.5,2,389,436,4250
81,0.3,1,0.5,437,466,5123
81,0.3,1,1,435,481,5059
81,0.3,1,2,419,457,4743
81,0.3,2,0.5,422,436,4919
81,0.3,2,1,438,457,5151
81,0.3,2,2,452,474,5287
81,0.4,0.5,0.5,394,451,4493
81,0.4,0.5,1,395,466,4437
81,0.4,0.5,2,395,436,4362
81,0.4,1,0.5,439,466,5157
81,0.4,1,1,440,481,5133
81,0.4,1,2,424,457,4829
81,0.4,2,0.5,422,436,4925
81,0.4,2,1,439,457,5169
81,0.4,2,2,453,474,5327
81,0.5,0.5,0.5,403,451,4615
81,0.5,0.5,1,407,466,4611
81,0.5,0.5,2,403,436,4490
81,0.5,1,0.5,442,466,5201
81,0.5,1,1,446,481,5223
81,0.5,1,2,430,457,4928
81,0.5,2,0.5,423,436,4932
81,0.5,2,1,441,457,5190
81,0.5,2,2,456,474,5373
81,0.6,0.5,0.5,414,451,4764
81,0.6,0.5,1,422,466,4812
81,0.6,0.5,2,411,436,4620
81,0.6,1,0.5,446,466,5255
81,0.6,1,1,454,481,5328
81,0.6,1,2,436,457,5026
81,0.6,2,0.5,423,436,4941
81,0.6,2,1,443,457,5215
81,0.6,2,2,460,474,5419
81,0.7,0.5,0.5,426,451,4927
81,0.7,0.5,1,438,466,5032
81,0.7,0.5,2,420,436,4761
81,0.7,1,0.5,450,466,5309
81,0.7,1,1,462,481,5434
81,0.7,1,2,443,457,5127
81,0.7,2,0.5,424,436,4947
81,0.7,2,1,445,457,5234
81,0.7,2,2,463,474,5456
81,0.8,0.5,0.5,437,451,5083
81,0.8,0.5,1,451,466,5236
81,0.8,0.5,2,426,436,4875
81,0.8,1,0.5,455,466,5372
81,0.8,1,1,471,481,5555
81,0.8,1,2,449,457,5225
81,0.8,2,0.5,425,436,4961
81,0.8,2,1,449,457,5273
81,0.8,2,2,470,474,5521
81,0.9,0.5,0.5,449,451,5260
81,0.9,0.5,1,466,466,5467
81,0.9,0.5,2,433,436,5000
81,0.9,1,0.5,465,466,5486
81,0.9,1,1,489,481,5777
81,0.9,1,2,463,457,5402
81,0.9,2,0.5,430,436,5003
81,0.9,2,1,461,457,5402
81,0.9,2,2,490,474,5739
81,1,0.5,0.5,434,445,5080
81,1,0.5,1,424,436,4944
81,1,0.5,2,406,418,4675
81,1,1,0.5,424,436,4944
81,1,1,1,413,426,4786
81,1,1,2,402,414,4601
81,1,2,0.5,406,418,4675
81,1,2,1,402,414,4601
81,1,2,2,397,409,4515
90,0.1,0.5,0.5,370,451,4177
90,0.1,0.5,1,363,466,4009
90,0.1,0.5,2,370,436,3965
90,0.1,1,0.5,424,466,4938
90,0.1,1,1,416,481,4792
90,0.1,1,2,399,457,4441
90,0.1,2,0.5,416,436,4835
90,0.1,2,1,428,457,4998
90,0.1,2,2,434,474,5023
90,0.2,0.5,0.5,373,451,4226
90,0.2,0.5,1,371,466,4120
90,0.2,0.5,2,381,436,4121
90,0.2,1,0.5,426,466,4965
90,0.2,1,1,421,481,4868
90,0.2,1,2,408,457,4580
90,0.2,2,0.5,417,436,4844
90,0.2,2,1,430,457,5029
90,0.2,2,2,440,474,5111
90,0.3,0.5,0.5,380,451,4309
90,0.3,0.5,1,381,466,4249
90,0.3,0.5,2,388,436,4238
90,0.3,1,0.5,428,466,5004
90,0.3,1,1,427,481,4953
90,0.3,1,2,414,457,4685
90,0.3,2,0.5,418,436,4856
90,0.3,2,1,432,457,5063
90,0.3,2,2,444,474,5183
90,0.4,0.5,0.5,389,451,4417
90,0.4,0.5,1,393,466,4408
90,0.4,0.5,2,396,436,4365
90,0.4,1,0.5,432,466,5050
90,0.4,1,1,434,481,5051
90,0.4,1,2,421,457,4796
90,0.4,2,0.5,418,436,4868
90,0.4,2,1,434,457,5098
90,0.4,2,2,448,474,5253
90,0.5,0.5,0.5,399,451,4552
90,0.5,0.5,1,406,466,4597
90,0.5,0.5,2,403,436,4497
90,0.5,1,0.5,436,466,5108
90,0.5,1,1,442,481,5168
90,0.5,1,2,428,457,4914
90,0.5,2,0.5,419,436,4883
90,0.5,2,1,437,457,5141
90,0.5,2,2,453,474,5334
90,0.6,0.5,0.5,411,451,4720
90,0.6,0.5,1,422,466,4825
90,0.6,0.5,2,412,436,4647
90,0.6,1,0.5,441,466,5176
90,0.6,1,1,451,481,5303
90,0.6,1,2,436,457,5042
90,0.6,2,0.5,420,436,4899
90,0.6,2,1,440,457,5187
90,0.6,2,2,458,474,5414
90,0.7,0.5,0.5,422,451,4877
90,0.7,0.5,1,436,466,5035
90,0.7,0.5,2,420,436,4778
90,0.7,1,0.5,444,466,5229
90,0.7,1,1,458,481,5405
90,0.7,1,2,441,457,5136
90,0.7,2,0.5,421,436,4906
90,0.7,2,1,441,457,5206
90,0.7,2,2,460,474,5449
90,0.8,0.5,0.5,433,451,5041
90,0.8,0.5,1,451,466,5248
90,0.8,0.5,2,427,436,4902
90,0.8,1,0.5,448,466,5287
90,0.8,1,1,466,481,5512
90,0.8,1,2,448,457,5227
90,0.8,2,0.5,422,436,4915
90,0.8,2,1,444,457,5230
90,0.8,2,2,465,474,5488
90,0.9,0.5,0.5,440,451,5159
90,0.9,0.5,1,460,466,5401
90,0.9,0.5,2,430,436,4983
90,0.9,1,0.5,452,466,5340
90,0.9,1,1,474,481,5612
90,0.9,1,2,453,457,5301
90,0.9,2,0.5,423,436,4926
90,0.9,2,1,448,457,5266
90,0.9,2,2,471,474,5547
90,1,0.5,0.5,426,445,4963
90,1,0.5,1,419,436,4866
90,1,0.5,2,404,418,4641
90,1,1,0.5,419,436,4866
90,1,1,1,410,426,4735
90,1,1,2,400,414,4577
90,1,2,0.5,404,418,4641
90,1,2,1,400,414,4577
90,1,2,2,396,409,4501
