ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
18,1,0.5,1,363,436,3843
18,1,0.5,2,381,418,4060
18,1,1,0.5,363,436,3843
18,1,1,1,374,426,3984
18,1,1,2,384,414,4105
18,1,2,0.5,381,418,4060
18,1,2,1,384,414,4105
18,1,2,2,388,409,4152
27,0.1,0.5,0.5,351,451,3702
27,0.1,0.5,1,366,466,3862
27,0.1,0.5,2,362,436,3772
27,0.1,1,0.5,403,466,4336
27,0.1,1,1,439,481,4720
27,0.1,1,2,419,457,4449
27,0.1,2,0.5,409,436,4445
27,0.1,2,1,454,457,4938
27,0.1,2,2,489,474,5304
27,0.2,0.5,0.5,353,451,3726
27,0.2,0.5,1,375,466,3956
27,0.2,0.5,2,377,436,3951
27,0.2,1,0.5,404,466,4346
27,0.2,1,1,444,481,4781
27,0.2,1,2,431,457,4592
27,0.2,2,0.5,409,436,4446
27,0.2,2,1,455,457,4955
27,0.2,2,2,496,474,5387
27,0.3,0.5,0.5,355,451,3749
27,0.3,0.5,1,381,466,4033
27,0.3,0.5,2,387,436,4075
27,0.3,1,0.5,405,466,4360
27,0.3,1,1,449,481,4839
27,0.3,1,2,441,457,4720
27,0.3,2,0.5,410,436,4450
27,0.3,2,1,457,457,4975
27,0.3,2,2,503,474,5468
27,0.4,0.5,0.5,356,451,3766
27,0.4,0.5,1,384,466,4073
27,0.4,0.5,2,391,436,4133
27,0.4,1,0.5,406,466,4365
27,0.4,1,1,450,481,4861
27,0.4,1,2,445,457,4766
27,0.4,2,0.5,410,436,4450
27,0.4,2,1,457,457,4979
27,0.4,2,2,505,474,5491
27,0.5,0.5,0.5,359,451,3801
27,0.5,0.5,1,390,466,4145
27,0.5,0.5,2,396,436,4209
27,0.5,1,0.5,407,466,4380
27,0.5,1,1,455,481,4917
27,0.5,1,2,452,457,4856
27,0.5,2,0.5,410,436,4452
27,0.5,2,1,458,457,4996
27,0.5,2,2,510,474,5560
27,0.6,0.5,0.5,361,451,3816
27,0.6,0.5,1,391,466,4162
27,0.6,0.5,2,397,436,4231
27,0.6,1,0.5,407,466,4380
27,0.6,1,1,454,481,4904
27,0.6,1,2,449,457,4840
27,0.6,2,0.5,410,436,4448
27,0.6,2,1,457,457,4982
27,0.6,2,2,507,474,5521
27,0.7,0.5,0.5,363,451,3843
27,0.7,0.5,1,394,466,4208
27,0.7,0.5,2,400,436,4279
27,0.7,1,0.5,406,466,4374
27,0.7,1,1,453,481,4901
27,0.7,1,2,449,457,4854
27,0.7,2,0.5,409,436,4438
27,0.7,2,1,455,457,4956
27,0.7,2,2,503,474,5491
27,0.8,0.5,0.5,363,451,3844
27,0.8,0.5,1,394,466,4216
27,0.8,0.5,2,399,436,4294
27,0.8,1,0.5,403,466,4337
27,0.8,1,1,447,481,4839
27,0.8,1,2,444,457,4809
27,0.8,2,0.5,406,436,4410
27,0.8,2,1,449,457,4883
27,0.8,2,2,494,474,5383
27,0.9,0.5,0.5,357,451,3786
27,0.9,0.5,1,387,466,4150
27,0.9,0.5,2,396,436,4270
27,0.9,1,0.5,391,466,4207
27,0.9,1,1,427,481,4617
27,0.9,1,2,427,457,4629
27,0.9,2,0.5,399,436,4324
27,0.9,2,1,429,457,4662
27,0.9,2,2,465,474,5058
