IncidentAngle,Power,Volume,Volume_a,Entropy
45.0,0.1,285,285,906
45.0,0.2,312,313,940
45.0,0.3,346,349,970
45.0,0.4,380,384,993
45.0,0.5,407,412,1009
45.0,0.6,427,433,1019
45.0,0.7,440,446,1026
45.0,0.8,448,453,1030
45.0,0.9,451,457,1032
45.0,1.0,453,458,1033
45.0,1.1,452,457,1033
45.0,1.2,451,456,1033
45.0,1.3,449,453,1032
45.0,1.4,447,451,1031
45.0,1.5,444,448,1030
45.0,1.6,442,446,1028
45.0,1.7,440,444,1027
45.0,1.8,438,442,1025
45.0,1.9,436,439,1024
45.0,2.0,434,438,1023
