ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,measure
63.0,0.30000000000000004,2.0,2.0,462,467.5732273095475,50
63.0,0.4,0.5,0.5,464,467.5732273095475,52
63.0,0.4,0.5,1.0,439,443.52660419077074,43
63.0,0.4,0.5,2.0,410,415.5692845786288,22
63.0,0.4,1.0,0.5,439,443.52660419077074,61
63.0,0.4,1.0,1.0,464,467.5732273095475,52
63.0,0.4,1.0,2.0,439,443.52660419077074,43
63.0,0.4,2.0,0.5,409,415.5692845786289,41
63.0,0.4,2.0,1.0,439,443.52660419077074,61
63.0,0.4,2.0,2.0,464,467.5732273095475,52
63.0,0.5,0.5,0.5,468,467.5732273095475,56
63.0,0.5,0.5,1.0,443,443.52660419077074,32
63.0,0.5,0.5,2.0,412,415.5692845786288,26
63.0,0.5,1.0,0.5,441,443.52660419077074,59
63.0,0.5,1.0,1.0,468,467.5732273095475,56
63.0,0.5,1.0,2.0,443,443.52660419077074,32
63.0,0.5,2.0,0.5,410,415.5692845786289,40
63.0,0.5,2.0,1.0,441,443.52660419077074,59
63.0,0.5,2.0,2.0,468,467.5732273095475,56
63.0,0.6,0.5,0.5,473,467.5732273095475,50
63.0,0.6,0.5,1.0,446,443.52660419077074,42
63.0,0.6,0.5,2.0,413,415.5692845786288,25
63.0,0.6,1.0,0.5,444,443.52660419077074,58
63.0,0.6,1.0,1.0,473,467.5732273095475,50
63.0,0.6,1.0,2.0,446,443.52660419077074,42
63.0,0.6,2.0,0.5,411,415.5692845786289,39
63.0,0.6,2.0,1.0,444,443.52660419077074,58
63.0,0.6,2.0,2.0,473,467.5732273095475,50
63.0,0.7000000000000001,0.5,0.5,484,467.5732273095475,61
63.0,0.7000000000000001,0.5,1.0,453,443.52660419077074,38
63.0,0.7000000000000001,0.5,2.0,416,415.5692845786288,36
63.0,0.7000000000000001,1.0,0.5,451,443.52660419077074,55
63.0,0.7000000000000001,1.0,1.0,484,467.5732273095475,61
63.0,0.7000000000000001,1.0,2.0,453,443.52660419077074,38
63.0,0.7000000000000001,2.0,0.5,413,415.5692845786289,38
63.0,0.7000000000000001,2.0,1.0,451,443.52660419077074,55
63.0,0.7000000000000001,2.0,2.0,484,467.5732273095475,61
63.0,0.8,0.5,0.5,502,467.5732273095475,52
63.0,0.8,0.5,1.0,464,443.52660419077074,61
63.0,0.8,0.5,2.0,420,415.5692845786288,40
63.0,0.8,1.0,0.5,463,443.52660419077074,52
63.0,0.8,1.0,1.0,502,467.5732273095475,52
63.0,0.8,1.0,2.0,464,443.52660419077074,61
63.0,0.8,2.0,0.5,417,415.5692845786289,36
63.0,0.8,2.0,1.0,463,443.52660419077074,52
63.0,0.8,2.0,2.0,502,467.5732273095475,52
63.0,0.9,0.5,0.5,528,467.5732273095475,86
63.0,0.9,0.5,1.0,481,443.52660419077074,58
63.0,0.9,0.5,2.0,426,415.5692845786288,40
63.0,0.9,1.0,0.5,479,443.52660419077074,49
63.0,0.9,1.0,1.0,528,467.5732273095475,86
63.0,0.9,1.0,2.0,481,443.52660419077074,58
63.0,0.9,2.0,0.5,423,415.5692845786289,35
63.0,0.9,2.0,1.0,479,443.52660419077074,49
63.0,0.9,2.0,2.0,528,467.5732273095475,86
63.0,1.0,0.5,0.5,393,400.77705197961217,35
63.0,1.0,0.5,1.0,393,400.77705197961217,35
63.0,1.0,0.5,2.0,393,400.77705197961217,35
63.0,1.0,1.0,0.5,393,400.77705197961217,35
63.0,1.0,1.0,1.0,393,400.77705197961217,35
63.0,1.0,1.0,2.0,393,400.77705197961217,35
63.0,1.0,2.0,0.5,393,400.77705197961217,35
63.0,1.0,2.0,1.0,393,400.77705197961217,35
63.0,1.0,2.0,2.0,393,400.77705197961217,35
72.0,0.1,0.5,0.5,453,467.5732273095475,48
72.0,0.1,0.5,1.0,424,443.52660419077074,33
72.0,0.1,0.5,2.0,394,415.5692845786288,14
72.0,0.1,1.0,0.5,434,443.52660419077074,59
72.0,0.1,1.0,1.0,453,467.5732273095475,48
72.0,0.1,1.0,2.0,424,443.52660419077074,33
72.0,0.1,2.0,0.5,407,415.5692845786289,38
72.0,0.1,2.0,1.0,434,443.52660419077074,59
72.0,0.1,2.0,2.0,453,467.5732273095475,48
72.0,0.2,0.5,0.5,458,467.5732273095475,48
72.0,0.2,0.5,1.0,432,443.52660419077074,43
72.0,0.2,0.5,2.0,404,415.5692845786288,19
72.0,0.2,1.0,0.5,435,443.52660419077074,59
72.0,0.2,1.0,1.0,458,467.5732273095475,48
72.0,0.2,1.0,2.0,432,443.52660419077074,43
72.0,0.2,2.0,0.5,408,415.5692845786289,38
72.0,0.2,2.0,1.0,435,443.52660419077074,59
72.0,0.2,2.0,2.0,458,467.5732273095475,48
72.0,0.30000000000000004,0.5,0.5,460,467.5732273095475,49
72.0,0.30000000000000004,0.5,1.0,436,443.52660419077074,45
72.0,0.30000000000000004,0.5,2.0,408,415.5692845786288,22
72.0,0.30000000000000004,1.0,0.5,436,443.52660419077074,59
72.0,0.30000000000000004,1.0,1.0,460,467.5732273095475,49
72.0,0.30000000000000004,1.0,2.0,436,443.52660419077074,45
72.0,0.30000000000000004,2.0,0.5,408,415.5692845786289,38
72.0,0.30000000000000004,2.0,1.0,436,443.52660419077074,59
72.0,0.30000000000000004,2.0,2.0,460,467.5732273095475,49
72.0,0.4,0.5,0.5,461,467.5732273095475,49
72.0,0.4,0.5,1.0,437,443.52660419077074,37
72.0,0.4,0.5,2.0,410,415.5692845786288,28
72.0,0.4,1.0,0.5,436,443.52660419077074,58
72.0,0.4,1.0,1.0,461,467.5732273095475,49
72.0,0.4,1.0,2.0,437,443.52660419077074,37
72.0,0.4,2.0,0.5,408,415.5692845786289,38
72.0,0.4,2.0,1.0,436,443.52660419077074,58
72.0,0.4,2.0,2.0,461,467.5732273095475,49
72.0,0.5,0.5,0.5,462,467.5732273095475,50
72.0,0.5,0.5,1.0,439,443.52660419077074,45
72.0,0.5,0.5,2.0,411,415.5692845786288,25
72.0,0.5,1.0,0.5,437,443.52660419077074,57
72.0,0.5,1.0,1.0,462,467.5732273095475,50
72.0,0.5,1.0,2.0,439,443.52660419077074,45
72.0,0.5,2.0,0.5,408,415.5692845786289,37
72.0,0.5,2.0,1.0,437,443.52660419077074,57
72.0,0.5,2.0,2.0,462,467.5732273095475,50
72.0,0.6,0.5,0.5,464,467.5732273095475,75
72.0,0.6,0.5,1.0,440,443.52660419077074,41
72.0,0.6,0.5,2.0,412,415.5692845786288,35
72.0,0.6,1.0,0.5,438,443.52660419077074,56
72.0,0.6,1.0,1.0,464,467.5732273095475,75
72.0,0.6,1.0,2.0,440,443.52660419077074,41
72.0,0.6,2.0,0.5,408,415.5692845786289,35
72.0,0.6,2.0,1.0,438,443.52660419077074,56
72.0,0.6,2.0,2.0,464,467.5732273095475,75
72.0,0.7000000000000001,0.5,0.5,470,467.5732273095475,72
72.0,0.7000000000000001,0.5,1.0,444,443.52660419077074,53
72.0,0.7000000000000001,0.5,2.0,414,415.5692845786288,32
72.0,0.7000000000000001,1.0,0.5,442,443.52660419077074,52
72.0,0.7000000000000001,1.0,1.0,470,467.5732273095475,72
72.0,0.7000000000000001,1.0,2.0,444,443.52660419077074,53
72.0,0.7000000000000001,2.0,0.5,410,415.5692845786289,34
72.0,0.7000000000000001,2.0,1.0,442,443.52660419077074,52
72.0,0.7000000000000001,2.0,2.0,470,467.5732273095475,72
72.0,0.8,0.5,0.5,482,467.5732273095475,68
72.0,0.8,0.5,1.0,451,443.52660419077074,48
72.0,0.8,0.5,2.0,415,415.5692845786288,31
72.0,0.8,1.0,0.5,450,443.52660419077074,48
72.0,0.8,1.0,1.0,482,467.5732273095475,68
72.0,0.8,1.0,2.0,451,443.52660419077074,48
72.0,0.8,2.0,0.5,412,415.5692845786289,50
72.0,0.8,2.0,1.0,450,443.52660419077074,48
72.0,0.8,2.0,2.0,482,467.5732273095475,68
72.0,0.9,0.5,0.5,512,467.5732273095475,62
72.0,0.9,0.5,1.0,470,443.52660419077074,55
72.0,0.9,0.5,2.0,420,415.5692845786288,37
72.0,0.9,1.0,0.5,469,443.52660419077074,68
72.0,0.9,1.0,1.0,512,467.5732273095475,62
72.0,0.9,1.0,2.0,470,443.52660419077074,55
72.0,0.9,2.0,0.5,419,415.5692845786289,48
72.0,0.9,2.0,1.0,469,443.52660419077074,68
72.0,0.9,2.0,2.0,512,467.5732273095475,62
72.0,1.0,0.5,0.5,393,400.77705197961217,47
72.0,1.0,0.5,1.0,393,400.77705197961217,47
72.0,1.0,0.5,2.0,393,400.77705197961217,47
72.0,1.0,1.0,0.5,393,400.77705197961217,47
72.0,1.0,1.0,1.0,393,400.77705197961217,47
72.0,1.0,1.0,2.0,393,400.77705197961217,47
72.0,1.0,2.0,0.5,393,400.77705197961217,47
72.0,1.0,2.0,1.0,393,400.77705197961217,47
72.0,1.0,2.0,2.0,393,400.77705197961217,47
81.0,0.1,0.5,0.5,449,467.5732273095475,51
81.0,0.1,0.5,1.0,422,443.52660419077074,40
81.0,0.1,0.5,2.0,394,415.5692845786288,18
81.0,0.1,1.0,0.5,430,443.52660419077074,70
81.0,0.1,1.0,1.0,449,467.5732273095475,51
81.0,0.1,1.0,2.0,422,443.52660419077074,40
81.0,0.1,2.0,0.5,403,415.5692845786289,46
81.0,0.1,2.0,1.0,430,443.52660419077074,70
81.0,0.1,2.0,2.0,449,467.5732273095475,51
81.0,0.2,0.5,0.5,455,467.5732273095475,76
81.0,0.2,0.5,1.0,431,443.52660419077074,41
81.0,0.2,0.5,2.0,405,415.5692845786288,20
81.0,0.2,1.0,0.5,431,443.52660419077074,71
81.0,0.2,1.0,1.0,455,467.5732273095475,76
81.0,0.2,1.0,2.0,431,443.52660419077074,41
81.0,0.2,2.0,0.5,404,415.5692845786289,46
81.0,0.2,2.0,1.0,431,443.52660419077074,71
81.0,0.2,2.0,2.0,455,467.5732273095475,76
81.0,0.30000000000000004,0.5,0.5,457,467.5732273095475,75
81.0,0.30000000000000004,0.5,1.0,435,443.52660419077074,42
81.0,0.30000000000000004,0.5,2.0,408,415.5692845786288,22
81.0,0.30000000000000004,1.0,0.5,432,443.52660419077074,71
81.0,0.30000000000000004,1.0,1.0,457,467.5732273095475,75
81.0,0.30000000000000004,1.0,2.0,435,443.52660419077074,42
81.0,0.30000000000000004,2.0,0.5,404,415.5692845786289,46
81.0,0.30000000000000004,2.0,1.0,432,443.52660419077074,71
81.0,0.30000000000000004,2.0,2.0,457,467.5732273095475,75
81.0,0.4,0.5,0.5,458,467.5732273095475,74
81.0,0.4,0.5,1.0,436,443.52660419077074,43
81.0,0.4,0.5,2.0,410,415.5692845786288,24
81.0,0.4,1.0,0.5,432,443.52660419077074,72
81.0,0.4,1.0,1.0,458,467.5732273095475,74
81.0,0.4,1.0,2.0,436,443.52660419077074,43
81.0,0.4,2.0,0.5,404,415.5692845786289,46
81.0,0.4,2.0,1.0,432,443.52660419077074,72
81.0,0.4,2.0,2.0,458,467.5732273095475,74
81.0,0.5,0.5,0.5,459,467.5732273095475,74
81.0,0.5,0.5,1.0,438,443.52660419077074,45
81.0,0.5,0.5,2.0,411,415.5692845786288,36
81.0,0.5,1.0,0.5,433,443.52660419077074,71
81.0,0.5,1.0,1.0,459,467.5732273095475,74
81.0,0.5,1.0,2.0,438,443.52660419077074,45
81.0,0.5,2.0,0.5,404,415.5692845786289,45
81.0,0.5,2.0,1.0,433,443.52660419077074,71
81.0,0.5,2.0,2.0,459,467.5732273095475,74
81.0,0.6,0.5,0.5,460,467.5732273095475,80
81.0,0.6,0.5,1.0,438,443.52660419077074,44
81.0,0.6,0.5,2.0,411,415.5692845786288,37
81.0,0.6,1.0,0.5,434,443.52660419077074,70
81.0,0.6,1.0,1.0,460,467.5732273095475,80
81.0,0.6,1.0,2.0,438,443.52660419077074,44
81.0,0.6,2.0,0.5,404,415.5692845786289,44
81.0,0.6,2.0,1.0,434,443.52660419077074,70
81.0,0.6,2.0,2.0,460,467.5732273095475,80
81.0,0.7000000000000001,0.5,0.5,461,467.5732273095475,73
81.0,0.7000000000000001,0.5,1.0,439,443.52660419077074,47
81.0,0.7000000000000001,0.5,2.0,412,415.5692845786288,41
81.0,0.7000000000000001,1.0,0.5,434,443.52660419077074,66
81.0,0.7000000000000001,1.0,1.0,461,467.5732273095475,73
81.0,0.7000000000000001,1.0,2.0,439,443.52660419077074,47
81.0,0.7000000000000001,2.0,0.5,404,415.5692845786289,41
81.0,0.7000000000000001,2.0,1.0,434,443.52660419077074,66
81.0,0.7000000000000001,2.0,2.0,461,467.5732273095475,73
81.0,0.8,0.5,0.5,466,467.5732273095475,64
81.0,0.8,0.5,1.0,441,443.52660419077074,58
81.0,0.8,0.5,2.0,411,415.5692845786288,36
81.0,0.8,1.0,0.5,437,443.52660419077074,60
81.0,0.8,1.0,1.0,466,467.5732273095475,64
81.0,0.8,1.0,2.0,441,443.52660419077074,58
81.0,0.8,2.0,0.5,406,415.5692845786289,39
81.0,0.8,2.0,1.0,437,443.52660419077074,60
81.0,0.8,2.0,2.0,466,467.5732273095475,64
81.0,0.9,0.5,0.5,487,467.5732273095475,70
81.0,0.9,0.5,1.0,454,443.52660419077074,52
81.0,0.9,0.5,2.0,414,415.5692845786288,34
81.0,0.9,1.0,0.5,451,443.52660419077074,52
81.0,0.9,1.0,1.0,487,467.5732273095475,70
81.0,0.9,1.0,2.0,454,443.52660419077074,52
81.0,0.9,2.0,0.5,410,415.5692845786289,35
81.0,0.9,2.0,1.0,451,443.52660419077074,52
81.0,0.9,2.0,2.0,487,467.5732273095475,70
81.0,1.0,0.5,0.5,389,400.77705197961217,32
81.0,1.0,0.5,1.0,389,400.77705197961217,32
81.0,1.0,0.5,2.0,389,400.77705197961217,32
81.0,1.0,1.0,0.5,389,400.77705197961217,32
81.0,1.0,1.0,1.0,389,400.77705197961217,32
81.0,1.0,1.0,2.0,389,400.77705197961217,32
81.0,1.0,2.0,0.5,389,400.77705197961217,32
81.0,1.0,2.0,1.0,389,400.77705197961217,32
81.0,1.0,2.0,2.0,389,400.77705197961217,32
